Département,nb_Client,Âge,Urbain,%Like
01,20,27.35,0.4,56.79
02,29,26.06896551724138,0.034482758620689655,47.67
03,11,28.181818181818183,0.36363636363636365,34.82
04,5,22.6,0.0,38.0
05,7,25.142857142857142,0.0,45.38
06,38,25.710526315789473,0.868421052631579,49.38
07,6,23.166666666666668,0.16666666666666666,50.78
08,10,25.2,0.0,56.99
09,9,27.0,0.2222222222222222,54.7
10,9,24.77777777777778,0.2222222222222222,55.06
11,14,25.142857142857142,0.2857142857142857,49.72
12,7,24.0,0.42857142857142855,53.67
13,73,26.602739726027398,0.8904109589041096,49.28
14,31,26.06451612903226,0.3225806451612903,50.94
15,2,22.0,0.0,64.58
16,13,26.615384615384617,0.3076923076923077,39.54
17,23,25.08695652173913,0.17391304347826086,50.66
18,4,23.25,0.75,35.26
19,8,28.875,0.25,48.18
20,8,25.75,0.25,49.0
21,19,28.105263157894736,0.6842105263157895,46.95
22,18,24.833333333333332,0.4444444444444444,46.7
23,3,29.666666666666668,0.0,60.2
24,13,23.384615384615383,0.3076923076923077,54.08
25,25,23.92,0.32,61.49
26,17,27.88235294117647,0.5882352941176471,50.18
27,17,24.41176470588235,0.23529411764705882,53.6
28,16,27.3125,0.3125,51.39
29,35,25.057142857142857,0.4,47.08
30,20,28.15,0.5,53.82
31,54,25.12962962962963,0.7037037037037037,48.88
32,10,26.8,0.5,51.19
33,65,27.153846153846153,0.6,49.45
34,45,26.666666666666668,0.5777777777777777,47.51
35,42,24.642857142857142,0.5238095238095238,52.15
36,6,23.166666666666668,0.3333333333333333,51.09
37,15,25.8,0.3333333333333333,53.76
38,35,25.82857142857143,0.37142857142857144,42.5
39,8,25.375,0.0,41.53
40,18,26.944444444444443,0.5,45.39
41,12,24.5,0.16666666666666666,58.42
42,28,25.392857142857142,0.35714285714285715,51.75
43,7,25.428571428571427,0.0,47.3
44,43,26.837209302325583,0.6976744186046512,49.4
45,26,27.192307692307693,0.2692307692307692,44.94
46,4,28.25,0.0,44.63
47,15,26.8,0.4,51.23
48,1,19.0,0.0,60.87
49,24,27.541666666666668,0.4583333333333333,42.19
50,10,24.4,0.1,45.93
51,22,25.318181818181817,0.6818181818181818,55.49
52,2,23.0,0.0,56.14
53,6,27.0,0.3333333333333333,51.17
54,25,26.28,0.36,50.02
55,7,25.714285714285715,0.0,52.18
56,35,24.914285714285715,0.37142857142857144,50.91
57,32,26.8125,0.375,49.75
58,5,29.0,0.0,38.72
59,110,25.9,0.6909090909090909,49.09
60,32,27.34375,0.125,52.49
61,10,24.4,0.0,27.58
62,69,23.92753623188406,0.5072463768115942,49.84
63,26,25.115384615384617,0.5384615384615384,51.92
64,17,27.764705882352942,0.5882352941176471,50.3
65,10,25.8,0.0,39.1
66,23,27.26086956521739,0.4782608695652174,43.65
67,23,25.26086956521739,0.6521739130434783,45.59
68,30,28.766666666666666,0.36666666666666664,50.63
69,73,27.71232876712329,0.6438356164383562,48.28
70,7,26.0,0.0,37.33
71,12,26.333333333333332,0.3333333333333333,47.79
72,18,26.27777777777778,0.5555555555555556,45.91
73,10,24.9,0.2,52.92
74,25,28.6,0.4,54.47
75,55,27.90909090909091,0.9090909090909091,48.24
76,56,26.142857142857142,0.4107142857142857,48.48
77,40,26.875,0.375,50.19
78,33,27.181818181818183,0.7878787878787878,45.72
79,10,28.2,0.2,54.31
80,26,27.384615384615383,0.5769230769230769,52.71
81,15,25.8,0.4,51.49
82,6,26.0,0.16666666666666666,44.68
83,38,28.157894736842106,0.5263157894736842,49.93
84,23,26.08695652173913,0.5217391304347826,49.78
85,20,26.1,0.15,49.36
86,14,27.214285714285715,0.5,48.46
87,13,26.615384615384617,0.5384615384615384,54.5
88,18,25.38888888888889,0.2222222222222222,49.36
89,20,24.25,0.2,45.78
90,7,27.428571428571427,0.5714285714285714,53.85
91,38,26.86842105263158,0.631578947368421,57.51
92,32,28.6875,0.9375,49.64
93,35,25.542857142857144,0.9714285714285714,58.07
94,47,27.5531914893617,0.9787234042553191,52.94
95,33,25.484848484848484,0.6666666666666666,53.22
97,5,28.0,1.0,38.87
98,1,37.0,0.0,70.83
